occurrenceID	organismQuantity	locationID	decimalLongitude	decimalLatitude	scientificName	taxonRank	materialSampleID
pacman_Nice05_01_CI_e6826557	679	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_01
pacman_Nice06_02_CI_e7d53e87	676	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice04_01_CI_ab276b06	672	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice01_02_CI_ae37594d	671	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice06_02_CI_425f52ac	671	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Sweden01_CI_1ed970f2	670	Sweden01	17.369983	60.65555	Eukaryota	domain	Sweden01
pacman_Nice03_01_CI_9f0b2230	670	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice07_02_CI_ab276b06	666	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice01_01_CI_e6826557	659	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice06_01_CI_684732b0	647	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice07_02_CI_73b182ad	646	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_01_CI_793a90d2	645	Nice06	7.2759908	43.6943859	Clausocalanus furcatus	species	Nice06_01
pacman_Nice06_02_CI_bd0fc584	640	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice02_01_CI_0836d2e7	639	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice02_01_CI_63662667	635	Nice02	7.2854731	43.6980647	Obelia	genus	Nice02_01
pacman_Nice07_02_CI_bd0fc584	630	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice03_01_CI_404b76c7	629	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice05_02_CI_d0644b7a	624	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice04_02_CI_b55d9d78	623	Nice04	7.2938607	43.6864926	Arthropoda	phylum	Nice04_02
pacman_Nice06_02_CI_96398a9a	609	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice02_02_CI_0836d2e7	609	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_02
pacman_Sweden01_CI_12f88182	607	Sweden01	17.369983	60.65555	Eukaryota	domain	Sweden01
pacman_Nice06_01_CI_6806eef1	605	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_287211d1	601	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_01_CI_96398a9a	595	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_01_CI_08530a38	594	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice05_02_CI_ab276b06	590	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice03_02_CI_287211d1	585	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice03_02_CI_34ce1fb0	584	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice06_01_CI_0d282733	580	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice06_01_CI_4e326a70	576	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice07_02_CI_928ea9de	573	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice07_02_CI_7cf0e7c7	571	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice03_01_CI_28a00ff7	563	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice06_01_CI_54935573	552	Nice06	7.2759908	43.6943859	Incertae sedis		Nice06_01
pacman_Nice07_02_CI_287211d1	549	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice03_02_CI_0836d2e7	546	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice07_02_CI_e7d53e87	545	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_01_CI_08530a38	541	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice07_02_CI_96398a9a	538	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_01_CI_79df42cd	538	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice01_01_CI_775f6385	535	Nice01	7.2902988	43.6921280	Octactis speculum	species	Nice01_01
pacman_Nice02_01_CI_d0644b7a	535	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice06_02_CI_0836d2e7	531	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice07_02_CI_d52f795b	529	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_01_CI_404b76c7	527	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_3e04209b	526	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice07_02_CI_aa3c564f	521	Nice07	7.2339643	43.6822367	Herposiphonia	genus	Nice07_02
pacman_Nice06_01_CI_8f521488	517	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_53accb28	515	Nice03	7.2836251	43.6952017	Incertae sedis		Nice03_01
pacman_Nice03_01_CI_54935573	513	Nice03	7.2836251	43.6952017	Incertae sedis		Nice03_01
pacman_Nice06_01_CI_0eea0d30	513	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice05_02_CI_34ce1fb0	511	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice02_01_CI_775f6385	510	Nice02	7.2854731	43.6980647	Octactis speculum	species	Nice02_01
pacman_Nice07_02_CI_d3b2a6b1	508	Nice07	7.2339643	43.6822367	Florideophyceae	class	Nice07_02
pacman_Nice03_01_CI_4dfd6fb5	507	Nice03	7.2836251	43.6952017	Incertae sedis		Nice03_01
pacman_Sweden01_CI_7cb26ab1	505	Sweden01	17.369983	60.65555	Marenzelleria viridis	species	Sweden01
pacman_Nice06_01_CI_3c359874	503	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_01_CI_d52f795b	499	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice05_02_CI_34e6290b	494	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice04_01_CI_425f52ac	491	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice04_02_CI_d0644b7a	488	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice05_01_CI_425f52ac	487	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_01
pacman_Nice03_01_CI_1d8b225c	484	Nice03	7.2836251	43.6952017	Ectocarpus subulatus	species	Nice03_01
pacman_Nice05_01_CI_0836d2e7	484	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_01
pacman_Nice07_02_CI_3c359874	482	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice03_01_CI_b4b964b1	482	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice07_01_CI_425f52ac	479	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_01
pacman_Nice07_02_CI_684732b0	478	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice01_01_CI_77f08a7c	477	Nice01	7.2902988	43.6921280	Haminoea orteai	species	Nice01_01
pacman_Nice03_01_CI_edd284c4	477	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice07_02_CI_02e4ba0b	475	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice02_01_CI_ab276b06	470	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice02_01_CI_5ae97ce5	470	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice04_01_CI_34ce1fb0	469	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice07_02_CI_4ec45f3c	468	Nice07	7.2339643	43.6822367	Florideophyceae	class	Nice07_02
pacman_Nice03_01_CI_ce55dfc2	468	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_01_CI_f58c66ce	465	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice04_01_CI_34e6290b	456	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Sweden01_CI_86b9d22b	454	Sweden01	17.369983	60.65555	Eukaryota	domain	Sweden01
pacman_Nice04_01_CI_e7d53e87	449	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_01
pacman_Nice05_02_CI_287211d1	447	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice01_02_CI_775f6385	446	Nice01	7.2902988	43.6921280	Octactis speculum	species	Nice01_02
pacman_Nice03_01_CI_85ea1e3b	437	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice05_02_CI_80344eec	435	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice07_02_CI_08530a38	435	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice02_01_CI_287211d1	433	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice03_01_CI_1ddd1456	430	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice02_01_CI_02e4ba0b	429	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice01_02_CI_bd0fc584	428	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice07_02_CI_85ea1e3b	427	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice02_02_CI_3b89ea56	425	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_02
pacman_Nice01_02_CI_0836d2e7	425	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice04_02_CI_775f6385	420	Nice04	7.2938607	43.6864926	Octactis speculum	species	Nice04_02
pacman_Nice04_01_CI_14aad726	419	Nice04	7.2938607	43.6864926	Rhodomelaceae	family	Nice04_01
pacman_Nice06_01_CI_45bbcf27	419	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice03_02_CI_bd0fc584	414	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice05_02_CI_0836d2e7	412	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice02_01_CI_34e6290b	410	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice03_02_CI_4e326a70	409	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice07_02_CI_89cd76c8	406	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice05_02_CI_e7d53e87	405	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice05_01_CI_aa3c564f	403	Nice05	7.3083152	43.6895811	Herposiphonia	genus	Nice05_01
pacman_Nice07_02_CI_14f6cd6f	403	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice04_02_CI_425f52ac	403	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice06_01_CI_2054ad10	401	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice01_01_CI_7cf0e7c7	400	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice07_02_CI_0836d2e7	400	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice03_02_CI_d0644b7a	399	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice03_01_CI_3c359874	395	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_02_CI_02e4ba0b	389	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice03_01_CI_8204c324	389	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice02_01_CI_bd0fc584	388	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice03_01_CI_653099e0	386	Nice03	7.2836251	43.6952017	Incertae sedis		Nice03_01
pacman_Nice06_02_CI_08530a38	383	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice04_02_CI_34e6290b	383	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice07_01_CI_34e6290b	383	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_01
pacman_Nice07_02_CI_6806eef1	378	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice07_02_CI_0eea0d30	378	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_01_CI_1955ebfa	377	Nice06	7.2759908	43.6943859	Centropages typicus	species	Nice06_01
pacman_Nice07_02_CI_bfee254a	377	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_02_CI_4e326a70	372	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_02
pacman_Nice03_01_CI_8dde9047	372	Nice03	7.2836251	43.6952017	Incertae sedis		Nice03_01
pacman_Nice01_01_CI_34ce1fb0	371	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice07_02_CI_4e326a70	367	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice01_01_CI_0836d2e7	367	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
pacman_Nice03_01_CI_2874843c	365	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice03_02_CI_7cf0e7c7	362	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_02
pacman_Nice01_02_CI_e6826557	362	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_02
pacman_Nice05_01_CI_d0644b7a	360	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_01
pacman_Nice01_02_CI_aa3c564f	359	Nice01	7.2902988	43.6921280	Herposiphonia	genus	Nice01_02
pacman_Nice03_01_CI_48e4213a	358	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice07_02_CI_8f521488	356	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice06_01_CI_0a098e46	356	Nice06	7.2759908	43.6943859	Eukaryota	domain	Nice06_01
pacman_Nice05_01_CI_34ce1fb0	354	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_01
pacman_Nice02_01_CI_85ea1e3b	354	Nice02	7.2854731	43.6980647	Eukaryota	domain	Nice02_01
pacman_Nice07_02_CI_06d0b242	354	Nice07	7.2339643	43.6822367	Eukaryota	domain	Nice07_02
pacman_Nice05_01_CI_775f6385	354	Nice05	7.3083152	43.6895811	Octactis speculum	species	Nice05_01
pacman_Nice04_02_CI_bd0fc584	354	Nice04	7.2938607	43.6864926	Eukaryota	domain	Nice04_02
pacman_Nice05_02_CI_404b76c7	347	Nice05	7.3083152	43.6895811	Eukaryota	domain	Nice05_02
pacman_Nice03_01_CI_fe453e2b	346	Nice03	7.2836251	43.6952017	Eukaryota	domain	Nice03_01
pacman_Nice01_01_CI_d0644b7a	342	Nice01	7.2902988	43.6921280	Eukaryota	domain	Nice01_01
