occurrenceID	materialSampleID	decimalLongitude	decimalLatitude	scientificName	taxonRank	organismQuantity
wilderlab_Nice05_02_WV_72992fe3	Nice05_02	7.3083152	43.6895811	Parablennius sanguinolentus	species	1696
wilderlab_Nice07_01_WV_72992fe3	Nice07_01	7.2339643	43.6822367	Parablennius sanguinolentus	species	2424
wilderlab_Nice07_02_WV_72992fe3	Nice07_02	7.2339643	43.6822367	Parablennius sanguinolentus	species	1180
wilderlab_Nice01_01_WV_2fff7cb2	Nice01_01	7.2902988	43.6921280	Oedalechilus labeo	species	4427
wilderlab_Nice01_02_WV_2fff7cb2	Nice01_02	7.2902988	43.6921280	Oedalechilus labeo	species	4451
wilderlab_Nice05_01_WV_2fff7cb2	Nice05_01	7.3083152	43.6895811	Oedalechilus labeo	species	100
wilderlab_Nice05_02_WV_2fff7cb2	Nice05_02	7.3083152	43.6895811	Oedalechilus labeo	species	681
wilderlab_Nice06_01_WV_2fff7cb2	Nice06_01	7.2759908	43.6943859	Oedalechilus labeo	species	6378
wilderlab_Nice06_02_WV_2fff7cb2	Nice06_02	7.2759908	43.6943859	Oedalechilus labeo	species	7449
wilderlab_Nice07_01_WV_2fff7cb2	Nice07_01	7.2339643	43.6822367	Oedalechilus labeo	species	1475
wilderlab_Nice07_02_WV_2fff7cb2	Nice07_02	7.2339643	43.6822367	Oedalechilus labeo	species	617
wilderlab_Nice03_01_WV_184b2f5d	Nice03_01	7.2836251	43.6952017	Sciaena umbra	species	10058
wilderlab_Nice03_02_WV_184b2f5d	Nice03_02	7.2836251	43.6952017	Sciaena umbra	species	12974
wilderlab_Nice01_01_RV_afe1f706	Nice01_01	7.2902988	43.6921280	Parablennius sanguinolentus	species	1954
wilderlab_Nice02_01_RV_afe1f706	Nice02_01	7.2854731	43.6980647	Parablennius sanguinolentus	species	10225
wilderlab_Nice02_02_RV_afe1f706	Nice02_02	7.2854731	43.6980647	Parablennius sanguinolentus	species	7376
wilderlab_Nice03_01_RV_afe1f706	Nice03_01	7.2836251	43.6952017	Parablennius sanguinolentus	species	207
wilderlab_Nice03_02_RV_afe1f706	Nice03_02	7.2836251	43.6952017	Parablennius sanguinolentus	species	278
wilderlab_Nice07_01_RV_afe1f706	Nice07_01	7.2339643	43.6822367	Parablennius sanguinolentus	species	1069
wilderlab_Nice07_02_RV_afe1f706	Nice07_02	7.2339643	43.6822367	Parablennius sanguinolentus	species	1611
wilderlab_Nice03_01_RV_58675487	Nice03_01	7.2836251	43.6952017	Sciaena umbra	species	11655
wilderlab_Nice03_02_RV_58675487	Nice03_02	7.2836251	43.6952017	Sciaena umbra	species	9319
wilderlab_Nice01_01_WV_98d52dac	Nice01_01	7.2902988	43.6921280	Symphodus tinca	species	3775
wilderlab_Nice01_02_WV_98d52dac	Nice01_02	7.2902988	43.6921280	Symphodus tinca	species	3355
wilderlab_Nice03_01_WV_98d52dac	Nice03_01	7.2836251	43.6952017	Symphodus tinca	species	87
wilderlab_Nice03_02_WV_98d52dac	Nice03_02	7.2836251	43.6952017	Symphodus tinca	species	250
wilderlab_Nice04_01_WV_98d52dac	Nice04_01	7.2938607	43.6864926	Symphodus tinca	species	1503
wilderlab_Nice04_02_WV_98d52dac	Nice04_02	7.2938607	43.6864926	Symphodus tinca	species	1243
wilderlab_Nice05_01_WV_98d52dac	Nice05_01	7.3083152	43.6895811	Symphodus tinca	species	2009
wilderlab_Nice05_02_WV_98d52dac	Nice05_02	7.3083152	43.6895811	Symphodus tinca	species	1844
wilderlab_Nice06_01_WV_98d52dac	Nice06_01	7.2759908	43.6943859	Symphodus tinca	species	549
wilderlab_Nice07_01_WV_98d52dac	Nice07_01	7.2339643	43.6822367	Symphodus tinca	species	3670
wilderlab_Nice07_02_WV_98d52dac	Nice07_02	7.2339643	43.6822367	Symphodus tinca	species	1840
wilderlab_Nice01_01_WV_1cdeea7e	Nice01_01	7.2902988	43.6921280	Sarpa salpa	species	2232
wilderlab_Nice01_02_WV_1cdeea7e	Nice01_02	7.2902988	43.6921280	Sarpa salpa	species	1362
wilderlab_Nice03_01_WV_1cdeea7e	Nice03_01	7.2836251	43.6952017	Sarpa salpa	species	150
wilderlab_Nice04_01_WV_1cdeea7e	Nice04_01	7.2938607	43.6864926	Sarpa salpa	species	1799
wilderlab_Nice04_02_WV_1cdeea7e	Nice04_02	7.2938607	43.6864926	Sarpa salpa	species	1413
wilderlab_Nice05_02_WV_1cdeea7e	Nice05_02	7.3083152	43.6895811	Sarpa salpa	species	983
wilderlab_Nice06_01_WV_1cdeea7e	Nice06_01	7.2759908	43.6943859	Sarpa salpa	species	1255
wilderlab_Nice06_02_WV_1cdeea7e	Nice06_02	7.2759908	43.6943859	Sarpa salpa	species	4037
wilderlab_Nice07_01_WV_1cdeea7e	Nice07_01	7.2339643	43.6822367	Sarpa salpa	species	2307
wilderlab_Nice07_02_WV_1cdeea7e	Nice07_02	7.2339643	43.6822367	Sarpa salpa	species	2192
wilderlab_Nice02_01_WV_23e8d3ce	Nice02_01	7.2854731	43.6980647	Gobius bucchichi	species	10204
wilderlab_Nice02_02_WV_23e8d3ce	Nice02_02	7.2854731	43.6980647	Gobius bucchichi	species	5782
wilderlab_Nice03_02_WV_23e8d3ce	Nice03_02	7.2836251	43.6952017	Gobius bucchichi	species	55
wilderlab_Nice04_02_WV_9df91060	Nice04_02	7.2938607	43.6864926	Liriope tetraphylla	species	126
wilderlab_Nice05_02_WV_9df91060	Nice05_02	7.3083152	43.6895811	Liriope tetraphylla	species	714
wilderlab_Nice06_01_WV_9df91060	Nice06_01	7.2759908	43.6943859	Liriope tetraphylla	species	5070
wilderlab_Nice06_02_WV_9df91060	Nice06_02	7.2759908	43.6943859	Liriope tetraphylla	species	6987
wilderlab_Nice07_02_WV_9df91060	Nice07_02	7.2339643	43.6822367	Liriope tetraphylla	species	109
wilderlab_Nice01_01_WV_287b59cf	Nice01_01	7.2902988	43.6921280	Tripterygion tripteronotum	species	2723
wilderlab_Nice03_01_WV_287b59cf	Nice03_01	7.2836251	43.6952017	Tripterygion tripteronotum	species	49
wilderlab_Nice05_01_WV_287b59cf	Nice05_01	7.3083152	43.6895811	Tripterygion tripteronotum	species	3013
wilderlab_Nice06_01_WV_287b59cf	Nice06_01	7.2759908	43.6943859	Tripterygion tripteronotum	species	618
wilderlab_Nice07_01_WV_287b59cf	Nice07_01	7.2339643	43.6822367	Tripterygion tripteronotum	species	3218
wilderlab_Nice07_02_WV_287b59cf	Nice07_02	7.2339643	43.6822367	Tripterygion tripteronotum	species	2356
wilderlab_Nice01_01_WV_1cd08f7e	Nice01_01	7.2902988	43.6921280	Scorpaena maderensis	species	924
wilderlab_Nice01_02_WV_1cd08f7e	Nice01_02	7.2902988	43.6921280	Scorpaena maderensis	species	3132
wilderlab_Nice03_01_WV_1cd08f7e	Nice03_01	7.2836251	43.6952017	Scorpaena maderensis	species	72
wilderlab_Nice03_02_WV_1cd08f7e	Nice03_02	7.2836251	43.6952017	Scorpaena maderensis	species	85
wilderlab_Nice04_01_WV_1cd08f7e	Nice04_01	7.2938607	43.6864926	Scorpaena maderensis	species	1809
wilderlab_Nice04_02_WV_1cd08f7e	Nice04_02	7.2938607	43.6864926	Scorpaena maderensis	species	1192
wilderlab_Nice05_02_WV_1cd08f7e	Nice05_02	7.3083152	43.6895811	Scorpaena maderensis	species	2673
wilderlab_Nice06_02_WV_1cd08f7e	Nice06_02	7.2759908	43.6943859	Scorpaena maderensis	species	1969
wilderlab_Nice01_01_CI_775f6385	Nice01_01	7.2902988	43.6921280	Octactis speculum	species	539
wilderlab_Nice01_02_CI_775f6385	Nice01_02	7.2902988	43.6921280	Octactis speculum	species	450
wilderlab_Nice02_01_CI_775f6385	Nice02_01	7.2854731	43.6980647	Octactis speculum	species	516
wilderlab_Nice02_02_CI_775f6385	Nice02_02	7.2854731	43.6980647	Octactis speculum	species	139
wilderlab_Nice03_01_CI_775f6385	Nice03_01	7.2836251	43.6952017	Octactis speculum	species	1670
wilderlab_Nice03_02_CI_775f6385	Nice03_02	7.2836251	43.6952017	Octactis speculum	species	835
wilderlab_Nice04_01_CI_775f6385	Nice04_01	7.2938607	43.6864926	Octactis speculum	species	1385
wilderlab_Nice04_02_CI_775f6385	Nice04_02	7.2938607	43.6864926	Octactis speculum	species	432
wilderlab_Nice05_01_CI_775f6385	Nice05_01	7.3083152	43.6895811	Octactis speculum	species	366
wilderlab_Nice05_02_CI_775f6385	Nice05_02	7.3083152	43.6895811	Octactis speculum	species	776
wilderlab_Nice06_01_CI_775f6385	Nice06_01	7.2759908	43.6943859	Octactis speculum	species	1503
wilderlab_Nice06_02_CI_775f6385	Nice06_02	7.2759908	43.6943859	Octactis speculum	species	1261
wilderlab_Nice07_01_CI_775f6385	Nice07_01	7.2339643	43.6822367	Octactis speculum	species	345
wilderlab_Nice07_02_CI_775f6385	Nice07_02	7.2339643	43.6822367	Octactis speculum	species	963
wilderlab_Nice01_02_WV_0805f724	Nice01_02	7.2902988	43.6921280	Chromis chromis	species	542
wilderlab_Nice04_01_WV_0805f724	Nice04_01	7.2938607	43.6864926	Chromis chromis	species	670
wilderlab_Nice04_02_WV_0805f724	Nice04_02	7.2938607	43.6864926	Chromis chromis	species	849
wilderlab_Nice05_01_WV_0805f724	Nice05_01	7.3083152	43.6895811	Chromis chromis	species	166
wilderlab_Nice05_02_WV_0805f724	Nice05_02	7.3083152	43.6895811	Chromis chromis	species	3243
wilderlab_Nice06_01_WV_0805f724	Nice06_01	7.2759908	43.6943859	Chromis chromis	species	4664
wilderlab_Nice07_01_WV_0805f724	Nice07_01	7.2339643	43.6822367	Chromis chromis	species	849
wilderlab_Nice02_01_WV_14bcfcbd	Nice02_01	7.2854731	43.6980647	Dicentrarchus labrax	species	2987
wilderlab_Nice02_02_WV_14bcfcbd	Nice02_02	7.2854731	43.6980647	Dicentrarchus labrax	species	859
wilderlab_Nice03_01_WV_14bcfcbd	Nice03_01	7.2836251	43.6952017	Dicentrarchus labrax	species	2804
wilderlab_Nice03_02_WV_14bcfcbd	Nice03_02	7.2836251	43.6952017	Dicentrarchus labrax	species	4195
wilderlab_Nice01_01_RV_0b539053	Nice01_01	7.2902988	43.6921280	Atherina hepsetus	species	4324
wilderlab_Nice01_02_RV_0b539053	Nice01_02	7.2902988	43.6921280	Atherina hepsetus	species	837
wilderlab_Nice03_01_RV_0b539053	Nice03_01	7.2836251	43.6952017	Atherina hepsetus	species	1208
wilderlab_Nice03_02_RV_0b539053	Nice03_02	7.2836251	43.6952017	Atherina hepsetus	species	594
wilderlab_Nice04_02_RV_0b539053	Nice04_02	7.2938607	43.6864926	Atherina hepsetus	species	1297
wilderlab_Nice07_01_RV_0b539053	Nice07_01	7.2339643	43.6822367	Atherina hepsetus	species	2547
wilderlab_Nice01_01_LM_d3d8b84a	Nice01_01	7.2902988	43.6921280	Oedalechilus labeo	species	2722
wilderlab_Nice01_02_LM_d3d8b84a	Nice01_02	7.2902988	43.6921280	Oedalechilus labeo	species	990
wilderlab_Nice04_02_LM_d3d8b84a	Nice04_02	7.2938607	43.6864926	Oedalechilus labeo	species	35
wilderlab_Nice05_02_LM_d3d8b84a	Nice05_02	7.3083152	43.6895811	Oedalechilus labeo	species	1065
wilderlab_Nice06_01_LM_d3d8b84a	Nice06_01	7.2759908	43.6943859	Oedalechilus labeo	species	4214
wilderlab_Nice06_02_LM_d3d8b84a	Nice06_02	7.2759908	43.6943859	Oedalechilus labeo	species	694
wilderlab_Nice07_02_LM_d3d8b84a	Nice07_02	7.2339643	43.6822367	Oedalechilus labeo	species	334
wilderlab_Nice01_01_HD_06e69246	Nice01_01	7.2902988	43.6921280	Plumularia obliqua	species	2091
wilderlab_Nice01_02_HD_06e69246	Nice01_02	7.2902988	43.6921280	Plumularia obliqua	species	1937
wilderlab_Nice04_01_HD_06e69246	Nice04_01	7.2938607	43.6864926	Plumularia obliqua	species	1234
wilderlab_Nice04_02_HD_06e69246	Nice04_02	7.2938607	43.6864926	Plumularia obliqua	species	1295
wilderlab_Nice05_01_HD_06e69246	Nice05_01	7.3083152	43.6895811	Plumularia obliqua	species	18
wilderlab_Nice05_02_HD_06e69246	Nice05_02	7.3083152	43.6895811	Plumularia obliqua	species	29
wilderlab_Nice07_01_HD_06e69246	Nice07_01	7.2339643	43.6822367	Plumularia obliqua	species	1624
wilderlab_Nice07_02_HD_06e69246	Nice07_02	7.2339643	43.6822367	Plumularia obliqua	species	965
wilderlab_Nice01_02_LM_cf66bcf8	Nice01_02	7.2902988	43.6921280	Dicentrarchus labrax	species	330
wilderlab_Nice02_01_LM_cf66bcf8	Nice02_01	7.2854731	43.6980647	Dicentrarchus labrax	species	1549
wilderlab_Nice02_02_LM_cf66bcf8	Nice02_02	7.2854731	43.6980647	Dicentrarchus labrax	species	692
wilderlab_Nice03_01_LM_cf66bcf8	Nice03_01	7.2836251	43.6952017	Dicentrarchus labrax	species	2840
wilderlab_Nice03_02_LM_cf66bcf8	Nice03_02	7.2836251	43.6952017	Dicentrarchus labrax	species	3266
wilderlab_Sweden01_LM_fecc5e32	Sweden01	17.42194444	60.74250000	Clupea harengus	species	7967
wilderlab_Nice01_01_RV_168f215e	Nice01_01	7.2902988	43.6921280	Lipophrys trigloides	species	2442
wilderlab_Nice01_02_RV_168f215e	Nice01_02	7.2902988	43.6921280	Lipophrys trigloides	species	712
wilderlab_Nice04_01_RV_168f215e	Nice04_01	7.2938607	43.6864926	Lipophrys trigloides	species	568
wilderlab_Nice04_02_RV_168f215e	Nice04_02	7.2938607	43.6864926	Lipophrys trigloides	species	1006
wilderlab_Nice05_02_RV_168f215e	Nice05_02	7.3083152	43.6895811	Lipophrys trigloides	species	846
wilderlab_Nice06_02_RV_168f215e	Nice06_02	7.2759908	43.6943859	Lipophrys trigloides	species	882
wilderlab_Nice07_01_RV_168f215e	Nice07_01	7.2339643	43.6822367	Lipophrys trigloides	species	958
wilderlab_Nice07_02_RV_168f215e	Nice07_02	7.2339643	43.6822367	Lipophrys trigloides	species	544
wilderlab_Nice01_01_WV_5191d459	Nice01_01	7.2902988	43.6921280	Lipophrys trigloides	species	2823
wilderlab_Nice01_02_WV_5191d459	Nice01_02	7.2902988	43.6921280	Lipophrys trigloides	species	343
wilderlab_Nice04_01_WV_5191d459	Nice04_01	7.2938607	43.6864926	Lipophrys trigloides	species	1305
wilderlab_Nice05_01_WV_5191d459	Nice05_01	7.3083152	43.6895811	Lipophrys trigloides	species	1886
wilderlab_Nice05_02_WV_5191d459	Nice05_02	7.3083152	43.6895811	Lipophrys trigloides	species	1541
wilderlab_Nice02_02_RV_545f6072	Nice02_02	7.2854731	43.6980647	Dicentrarchus labrax	species	3477
wilderlab_Nice03_01_RV_545f6072	Nice03_01	7.2836251	43.6952017	Dicentrarchus labrax	species	2063
wilderlab_Nice03_02_RV_545f6072	Nice03_02	7.2836251	43.6952017	Dicentrarchus labrax	species	2060
wilderlab_Nice01_01_WV_2fa795b4	Nice01_01	7.2902988	43.6921280	Microlipophrys canevae	species	888
wilderlab_Nice01_02_WV_2fa795b4	Nice01_02	7.2902988	43.6921280	Microlipophrys canevae	species	299
wilderlab_Nice04_01_WV_2fa795b4	Nice04_01	7.2938607	43.6864926	Microlipophrys canevae	species	2157
wilderlab_Nice04_02_WV_2fa795b4	Nice04_02	7.2938607	43.6864926	Microlipophrys canevae	species	1299
wilderlab_Nice05_02_WV_2fa795b4	Nice05_02	7.3083152	43.6895811	Microlipophrys canevae	species	1631
wilderlab_Nice01_02_WV_243dc506	Nice01_02	7.2902988	43.6921280	Boops boops	species	141
wilderlab_Nice03_01_WV_243dc506	Nice03_01	7.2836251	43.6952017	Boops boops	species	348
wilderlab_Nice03_02_WV_243dc506	Nice03_02	7.2836251	43.6952017	Boops boops	species	708
wilderlab_Nice04_02_WV_243dc506	Nice04_02	7.2938607	43.6864926	Boops boops	species	392
wilderlab_Nice05_02_WV_243dc506	Nice05_02	7.3083152	43.6895811	Boops boops	species	541
wilderlab_Nice06_01_WV_243dc506	Nice06_01	7.2759908	43.6943859	Boops boops	species	1032
wilderlab_Nice06_02_WV_243dc506	Nice06_02	7.2759908	43.6943859	Boops boops	species	3094
wilderlab_Nice01_01_WV_0edac244	Nice01_01	7.2902988	43.6921280	Parablennius incognitus	species	657
wilderlab_Nice03_01_WV_0edac244	Nice03_01	7.2836251	43.6952017	Parablennius incognitus	species	61
wilderlab_Nice04_02_WV_0edac244	Nice04_02	7.2938607	43.6864926	Parablennius incognitus	species	1143
wilderlab_Nice05_01_WV_0edac244	Nice05_01	7.3083152	43.6895811	Parablennius incognitus	species	1781
wilderlab_Nice05_02_WV_0edac244	Nice05_02	7.3083152	43.6895811	Parablennius incognitus	species	2133
wilderlab_Nice07_01_WV_0edac244	Nice07_01	7.2339643	43.6822367	Parablennius incognitus	species	298
wilderlab_Sweden01_WV_983f82df	Sweden01	17.42194444	60.74250000	Clupea harengus	species	5921
wilderlab_Nice01_01_WV_5616ce67	Nice01_01	7.2902988	43.6921280	Diplodus annularis	species	829
wilderlab_Nice02_02_WV_5616ce67	Nice02_02	7.2854731	43.6980647	Diplodus annularis	species	1116
wilderlab_Nice03_01_WV_5616ce67	Nice03_01	7.2836251	43.6952017	Diplodus annularis	species	404
wilderlab_Nice03_02_WV_5616ce67	Nice03_02	7.2836251	43.6952017	Diplodus annularis	species	545
wilderlab_Nice04_01_WV_5616ce67	Nice04_01	7.2938607	43.6864926	Diplodus annularis	species	182
wilderlab_Nice04_02_WV_5616ce67	Nice04_02	7.2938607	43.6864926	Diplodus annularis	species	683
wilderlab_Nice05_01_WV_5616ce67	Nice05_01	7.3083152	43.6895811	Diplodus annularis	species	1686
wilderlab_Nice01_02_WV_92e79bf5	Nice01_02	7.2902988	43.6921280	Oblada melanura	species	389
wilderlab_Nice02_02_WV_92e79bf5	Nice02_02	7.2854731	43.6980647	Oblada melanura	species	825
wilderlab_Nice06_01_WV_92e79bf5	Nice06_01	7.2759908	43.6943859	Oblada melanura	species	3382
wilderlab_Nice07_02_WV_92e79bf5	Nice07_02	7.2339643	43.6822367	Oblada melanura	species	611
wilderlab_Nice02_01_RV_cd20578c	Nice02_01	7.2854731	43.6980647	Sardina pilchardus	species	675
wilderlab_Nice03_01_RV_cd20578c	Nice03_01	7.2836251	43.6952017	Sardina pilchardus	species	655
wilderlab_Nice03_02_RV_cd20578c	Nice03_02	7.2836251	43.6952017	Sardina pilchardus	species	203
wilderlab_Nice04_01_RV_cd20578c	Nice04_01	7.2938607	43.6864926	Sardina pilchardus	species	447
wilderlab_Nice05_01_RV_cd20578c	Nice05_01	7.3083152	43.6895811	Sardina pilchardus	species	791
wilderlab_Nice05_02_RV_cd20578c	Nice05_02	7.3083152	43.6895811	Sardina pilchardus	species	1241
wilderlab_Nice06_01_RV_cd20578c	Nice06_01	7.2759908	43.6943859	Sardina pilchardus	species	465
wilderlab_Nice07_01_RV_cd20578c	Nice07_01	7.2339643	43.6822367	Sardina pilchardus	species	645
wilderlab_Nice02_02_RV_c0b2f77b	Nice02_02	7.2854731	43.6980647	Trachinotus coppingeri	species	845
wilderlab_Nice03_01_RV_c0b2f77b	Nice03_01	7.2836251	43.6952017	Trachinotus coppingeri	species	2134
wilderlab_Nice03_02_RV_c0b2f77b	Nice03_02	7.2836251	43.6952017	Trachinotus coppingeri	species	2118
wilderlab_Nice01_01_WV_5b7feb46	Nice01_01	7.2902988	43.6921280	Atherina boyeri	species	2675
wilderlab_Nice01_02_WV_5b7feb46	Nice01_02	7.2902988	43.6921280	Atherina boyeri	species	1250
wilderlab_Nice04_01_WV_5b7feb46	Nice04_01	7.2938607	43.6864926	Atherina boyeri	species	688
wilderlab_Nice01_01_LM_20c59b68	Nice01_01	7.2902988	43.6921280	Atherina hepsetus	species	903
wilderlab_Nice01_02_LM_20c59b68	Nice01_02	7.2902988	43.6921280	Atherina hepsetus	species	447
wilderlab_Nice03_01_LM_20c59b68	Nice03_01	7.2836251	43.6952017	Atherina hepsetus	species	686
wilderlab_Nice03_02_LM_20c59b68	Nice03_02	7.2836251	43.6952017	Atherina hepsetus	species	657
wilderlab_Nice04_01_LM_20c59b68	Nice04_01	7.2938607	43.6864926	Atherina hepsetus	species	722
wilderlab_Nice05_02_LM_20c59b68	Nice05_02	7.3083152	43.6895811	Atherina hepsetus	species	277
wilderlab_Nice07_01_LM_20c59b68	Nice07_01	7.2339643	43.6822367	Atherina hepsetus	species	805
wilderlab_Nice03_01_RV_6d01ad06	Nice03_01	7.2836251	43.6952017	Boops boops	species	725
wilderlab_Nice03_02_RV_6d01ad06	Nice03_02	7.2836251	43.6952017	Boops boops	species	124
wilderlab_Nice04_01_RV_6d01ad06	Nice04_01	7.2938607	43.6864926	Boops boops	species	1093
wilderlab_Nice04_02_RV_6d01ad06	Nice04_02	7.2938607	43.6864926	Boops boops	species	327
wilderlab_Nice05_02_RV_6d01ad06	Nice05_02	7.3083152	43.6895811	Boops boops	species	953
wilderlab_Nice06_02_RV_6d01ad06	Nice06_02	7.2759908	43.6943859	Boops boops	species	1176
wilderlab_Nice01_01_WV_de224d7b	Nice01_01	7.2902988	43.6921280	Sardina pilchardus	species	662
wilderlab_Nice03_01_WV_de224d7b	Nice03_01	7.2836251	43.6952017	Sardina pilchardus	species	532
wilderlab_Nice03_02_WV_de224d7b	Nice03_02	7.2836251	43.6952017	Sardina pilchardus	species	153
wilderlab_Nice04_02_WV_de224d7b	Nice04_02	7.2938607	43.6864926	Sardina pilchardus	species	584
wilderlab_Nice05_01_WV_de224d7b	Nice05_01	7.3083152	43.6895811	Sardina pilchardus	species	358
wilderlab_Nice06_02_WV_de224d7b	Nice06_02	7.2759908	43.6943859	Sardina pilchardus	species	846
wilderlab_Nice07_02_WV_de224d7b	Nice07_02	7.2339643	43.6822367	Sardina pilchardus	species	1088
wilderlab_Sweden01_RV_86068533	Sweden01	17.42194444	60.74250000	Zoarces viviparus	species	4148
wilderlab_Nice01_01_RV_0632d2be	Nice01_01	7.2902988	43.6921280	Parablennius incognitus	species	2338
wilderlab_Nice01_02_RV_0632d2be	Nice01_02	7.2902988	43.6921280	Parablennius incognitus	species	331
wilderlab_Nice03_01_RV_0632d2be	Nice03_01	7.2836251	43.6952017	Parablennius incognitus	species	74
wilderlab_Nice03_02_RV_0632d2be	Nice03_02	7.2836251	43.6952017	Parablennius incognitus	species	13
wilderlab_Nice04_02_RV_0632d2be	Nice04_02	7.2938607	43.6864926	Parablennius incognitus	species	1158
wilderlab_Nice04_02_WV_6320a9d8	Nice04_02	7.2938607	43.6864926	Scartella cristata	species	2388
wilderlab_Nice07_01_WV_6320a9d8	Nice07_01	7.2339643	43.6822367	Scartella cristata	species	1405
wilderlab_Nice01_01_LM_341b8677	Nice01_01	7.2902988	43.6921280	Symphodus tinca	species	194
wilderlab_Nice01_02_LM_341b8677	Nice01_02	7.2902988	43.6921280	Symphodus tinca	species	1574
wilderlab_Nice03_01_LM_341b8677	Nice03_01	7.2836251	43.6952017	Symphodus tinca	species	64
wilderlab_Nice03_02_LM_341b8677	Nice03_02	7.2836251	43.6952017	Symphodus tinca	species	68
wilderlab_Nice04_01_LM_341b8677	Nice04_01	7.2938607	43.6864926	Symphodus tinca	species	299
wilderlab_Nice04_02_LM_341b8677	Nice04_02	7.2938607	43.6864926	Symphodus tinca	species	52
wilderlab_Nice05_01_LM_341b8677	Nice05_01	7.3083152	43.6895811	Symphodus tinca	species	433
wilderlab_Nice05_02_LM_341b8677	Nice05_02	7.3083152	43.6895811	Symphodus tinca	species	203
wilderlab_Nice06_02_LM_341b8677	Nice06_02	7.2759908	43.6943859	Symphodus tinca	species	101
wilderlab_Nice07_01_LM_341b8677	Nice07_01	7.2339643	43.6822367	Symphodus tinca	species	394
wilderlab_Nice07_02_LM_341b8677	Nice07_02	7.2339643	43.6822367	Symphodus tinca	species	314
wilderlab_Nice01_02_WV_6e7dfb3f	Nice01_02	7.2902988	43.6921280	Muraena helena	species	2430
wilderlab_Nice03_01_WV_6e7dfb3f	Nice03_01	7.2836251	43.6952017	Muraena helena	species	288
wilderlab_Nice05_02_WV_6e7dfb3f	Nice05_02	7.3083152	43.6895811	Muraena helena	species	908
wilderlab_Nice01_01_WV_741b3097	Nice01_01	7.2902988	43.6921280	Obelia dichotoma	species	8
wilderlab_Nice02_01_WV_741b3097	Nice02_01	7.2854731	43.6980647	Obelia dichotoma	species	2691
wilderlab_Nice02_02_WV_741b3097	Nice02_02	7.2854731	43.6980647	Obelia dichotoma	species	759
wilderlab_Nice03_01_WV_741b3097	Nice03_01	7.2836251	43.6952017	Obelia dichotoma	species	10
